"","Gn1","Gn2","interaction"
"546","Asio","Pica","interactsWith"
"547","Asio","Pica","eats"
"548","Asio","Picoides","eats"
"549","Asio","Pinicola","eats"
"550","Asio","Pipilo","eats"
"551","Asio","Piranga","interactsWith"
"552","Asio","Pooecetes","eats"
"553","Asio","Quiscalus","interactsWith"
"554","Asio","Quiscalus","eats"
"555","Asio","Regulus","eats"
"556","Asio","Riparia","hasHost"
"557","Asio","Seiurus","eats"
"558","Asio","Setophaga","eats"
"559","Asio","Setophaga","preysOn"
"560","Asio","Sialia","eats"
"561","Asio","Sitta","eats"
"562","Asio","Spizella","eats"
"563","Asio","Streptopelia","preysOn"
"564","Asio","Strix","interactsWith"
"565","Asio","Strix","eatenBy"
"566","Asio","Strix","preyedUponBy"
"567","Asio","Sturnella","eats"
"568","Asio","Sturnus","eats"
"569","Asio","Thryothorus","eats"
"570","Asio","Troglodytes","eats"
"571","Asio","Turdus","eats"
"572","Asio","Turdus","preysOn"
"573","Asio","Turdus","ectoparasiteOf"
"574","Asio","Vireo","eats"
"575","Asio","Zenaida","eats"
"576","Asio","Zonotrichia","eats"
"577","Asio","Zoothera","eats"
"578","Auriparus","Lanius","interactsWith"
"579","Auriparus","Lanius","eatenBy"
"580","Baeolophus","Buteo","eatenBy"
"581","Baeolophus","Parus","interactsWith"
"582","Baeolophus","Parus","eats"
"583","Baeolophus","Parus","eatenBy"
"584","Baeolophus","Sitta","interactsWith"
"585","Baeolophus","Troglodytes","preysOn"
"586","Bombycilla","Buteo","eatenBy"
"587","Bombycilla","Buteo","interactsWith"
"588","Bombycilla","Colaptes","interactsWith"
"589","Bombycilla","Corvus","preyedUponBy"
"590","Bombycilla","Corvus","eatenBy"
"591","Bombycilla","Cyanocitta","interactsWith"
"592","Bombycilla","Falco","eatenBy"
"593","Bombycilla","Falco","interactsWith"
"594","Bombycilla","Falco","preyedUponBy"
"595","Bombycilla","Glaucidium","eatenBy"
"596","Bombycilla","Molothrus","interactsWith"
"597","Bombycilla","Molothrus","hasParasite"
"598","Bombycilla","Nucifraga","eatenBy"
"599","Bombycilla","Perisoreus","eatenBy"
"600","Bombycilla","Quiscalus","interactsWith"
"601","Bombycilla","Quiscalus","eatenBy"
"602","Bombycilla","Strix","eatenBy"
"603","Bombycilla","Troglodytes","interactsWith"
"604","Bombycilla","Turdus","interactsWith"
"605","Bonasa","Bubo","preyedUponBy"
"606","Bonasa","Bubo","eatenBy"
"607","Bonasa","Bubo","interactsWith"
"608","Bonasa","Buteo","preyedUponBy"
"609","Bonasa","Buteo","eatenBy"
"610","Bonasa","Euonymus","eats"
"611","Bonasa","Falco","eatenBy"
"612","Bonasa","Haliaeetus","eatenBy"
"613","Bonasa","Strix","eatenBy"
"614","Bubo","Buteo","interactsWith"
"615","Bubo","Buteo","eats"
"616","Bubo","Buteo","preysOn"
"617","Bubo","Calcarius","eats"
"618","Bubo","Callipepla","interactsWith"
"619","Bubo","Callipepla","eats"
"620","Bubo","Calypte","interactsWith"
"621","Bubo","Carduelis","eats"
"622","Bubo","Carpodacus","eats"
"623","Bubo","Carpodacus","hasHost"
"624","Bubo","Cathartes","interactsWith"
"625","Bubo","Catharus","interactsWith"
"626","Bubo","Circus","interactsWith"
"627","Bubo","Circus","eats"
"628","Bubo","Coccyzus","eats"
"629","Bubo","Colaptes","interactsWith"
"630","Bubo","Colaptes","eats"
"631","Bubo","Colaptes","preysOn"
"632","Bubo","Colinus","eats"
"633","Bubo","Columba","interactsWith"
"634","Bubo","Columba","eats"
"635","Bubo","Columba","preysOn"
"636","Bubo","Corvus","interactsWith"
"637","Bubo","Corvus","eats"
"638","Bubo","Corvus","eatenBy"
"639","Bubo","Corvus","preysOn"
"640","Bubo","Cyanocitta","eats"
"641","Bubo","Elanoides","interactsWith"
"642","Bubo","Empidonax","interactsWith"
"643","Bubo","Eremophila","eats"
"644","Bubo","Falco","interactsWith"
"645","Bubo","Falco","eats"
"646","Bubo","Glaucidium","interactsWith"
"647","Bubo","Gymnorhinus","interactsWith"
"648","Bubo","Haliaeetus","eatenBy"
"649","Bubo","Icterus","interactsWith"
"650","Bubo","Icterus","eats"
"651","Bubo","Ictinia","interactsWith"
"652","Bubo","Junco","eats"
"653","Bubo","Loxia","eats"
"654","Bubo","Melanerpes","eats"
"655","Bubo","Meleagris","interactsWith"
"656","Bubo","Melospiza","eats"
"657","Bubo","Mimus","interactsWith"
"658","Bubo","Mimus","preysOn"
"659","Bubo","Molothrus","interactsWith"
"660","Bubo","Molothrus","eats"
"661","Bubo","Nucifraga","interactsWith"
"662","Bubo","Nucifraga","eats"
"663","Bubo","Otus","interactsWith"
"664","Bubo","Otus","eats"
"665","Bubo","Passer","interactsWith"
"666","Bubo","Passer","eats"
"667","Bubo","Perdix","eats"
"668","Bubo","Phainopepla","interactsWith"
"669","Bubo","Phalaenoptilus","interactsWith"
"670","Bubo","Phasianus","eats"
"671","Bubo","Phasianus","interactsWith"
"672","Bubo","Pheucticus","interactsWith"
"673","Bubo","Pica","interactsWith"
"674","Bubo","Pica","eats"
"675","Bubo","Pinicola","eats"
"676","Bubo","Pipilo","eats"
"677","Bubo","Piranga","interactsWith"
"678","Bubo","Quiscalus","interactsWith"
"679","Bubo","Quiscalus","eats"
"680","Bubo","Sialia","eats"
"681","Bubo","Sphyrapicus","eats"
"682","Bubo","Strix","eatenBy"
"683","Bubo","Strix","interactsWith"
"684","Bubo","Strix","eats"
"685","Bubo","Sturnella","eats"
"686","Bubo","Sturnus","eats"
"687","Bubo","Tachycineta","interactsWith"
"688","Bubo","Turdus","eats"
"689","Bubo","Tympanuchus","interactsWith"
"690","Bubo","Tympanuchus","eats"
